"gs_name","overlap_genes","overlap_n","source"
"Cellular Response To Chemical Stress","ABCC1, ABCD1, ABL1, AGAP3, AIFM1, AKR1B1, AKR1C3, AKT1, ALOX5, ANKZF1, APEX1, AQP5, ARG1, ARHGEF2, ARNT, ARNTL, ATF2, ATF4, ATG5, ATG7, ATM, ATP13A2, ATP2A2, ATP7A, AXL, BAD, BCL2, BDKRB2, BECN1, BMP7, BNIP3, BTK, CAPN3, CASP3, CAT, CD36, CDK1, CHUK, CLN3, CPEB2, CTNNB1, CYP1B1, DAPK1, DDIT3, DDX3X, DHFR, DHRS2, DIABLO, DNAJA1, EDN1, EDNRA, EGFR, EIF2AK3, EIF2S1, EPAS1, EPO, ERN1, ERRFI1, ETV5, EZH2, FANCC, FANCD2, FAS, FBLN5, FBXW7, FER, FOXO1, FOXO3, FUT8, FYN, FZD1, G6PD, GATA4, GBA, GCH1, GPR37, GPR37L1, GSR, H19, HDAC2, HDAC6, HGF, HIF1A, HMOX1, HSF1, HTRA2, IL10, IL18BP, IL6, JAK2, KDM6B, KEAP1, LANCL1, LONP1, LRRK2, MAP1LC3A, MAP3K5, MAPK1, MAPK3, MAPK7, MAPK8, MAPK9, MAPT, MELK, MET, MGMT, MMP9, MPO, MYC, MYLK, NCF1, NFE2L1, NFE2L2, NONO, NOS3, NOX1, NQO1, NR4A3, OXSR1, P4HB, PAGE4, PARK7, PARP1, PAWR, PAX2, PCNA, PDCD10, PDGFD, PDGFRA, PDK1, PENK, PIK3CA, PINK1, PKD2, PLA2R1, PLEC, PLEKHA1, PML, PNPT1, PPARGC1A, PPIF, PRKAA1, PRKAA2, PRKCD, PRKD1, PRKN, PRKRA, PRODH, PTGS2, PXN, RAD52, RELA, RELB, REST, RIPK1, RIPK3, RNF112, RWDD1, SESN2, SFPQ, SIGMAR1, SIN3A, SIRPA, SIRT1, SIRT2, SLC12A6, SLC1A1, SLC2A1, SLC2A4, SLC7A11, SMPD3, SNCA, SOD1, SOD3, SPHK1, SRC, STAT6, STAU1, STAU2, STK39, SUMO4, TLR4, TLR6, TNF, TP53, TRAP1, TREM2, TREX1, TRPA1, TRPM2, TRPV4, TSC1, TSPO, WNT1, XRCC5, ZC3H12A",196,"C5:GO_BP"
"Cellular Response To External Stimulus","ADNP, ADORA2B, AIFM1, AKR1C3, ARHGAP35, ATF2, ATF3, ATF4, ATG5, ATG7, ATP2B1, AVPR1A, AXL, BAD, BAG3, BAK1, BCL10, BCL2, BECN1, BMP6, BMPR2, BNIP3, BRIP1, BRSK2, CARTPT, CASP1, CASP2, CASP8, CASP8AP2, CASR, CBL, CBS, CBSL, CD40, CD68, CDA, CDKN1A, CDKN2B, CHEK1, CLEC16A, COMT, CYBA, CYP24A1, CYP27B1, DAG1, DAP, EHMT2, EIF2AK2, EIF2AK3, EIF2AK4, EIF2S1, EIF4G1, ENG, ERCC6, F11R, FADD, FADS1, FAM107A, FAS, FES, FGF23, FLCN, FOLR1, FOLR2, FOSL1, FOXA2, FOXO1, FOXO3, GADD45A, GAS2L1, GAS6, GBA, GCGR, GCN1, HMOX1, HSPA8, IFI16, IGF1R, IL13, IL15, IL1B, INHBB, IRF1, ITGA2, ITGA4, KANK2, KCNB1, KCNJ2, KCNK4, KRT20, LAMP2, LEP, LPL, LRRK2, LTBR, LYN, MAP1LC3A, MAP1LC3B, MAP2K4, MAP3K1, MAP3K14, MAP3K5, MAPK1, MAPK3, MAPK8, MAX, MED1, MTOR, MYBBP1A, MYD88, MYH13, MYOD1, NCOA1, NFE2L2, NFKB1, NR1H4, NUAK2, NUDT1, P2RX7, PCK1, PCSK9, PDE2A, PENK, PHEX, PIEZO1, PIEZO2, PIK3C3, PIM1, PLEC, PMAIP1, POSTN, PPARA, PPM1D, PPP1R9B, PRKAA1, PRKAA2, PRKAB1, PRKAG1, PRKAG2, PRKD1, PTGER4, PTGS2, RIPOR1, RPTOR, RXRA, SESN2, SESN3, SFRP1, SIK2, SIRT1, SLC1A2, SLC2A1, SLC9A1, SNAI2, SOX9, SRD5A1, SREBF1, SREBF2, SRF, SUV39H1, TBL2, TFEB, TLR3, TLR4, TLR5, TLR7, TLR8, TNFRSF10A, TNFRSF10B, TNFRSF1A, TNFRSF8, TNFSF14, TP53, TSC1, UCP2, ULK1, USF1, VCAM1, VDR, WNT4, WRN, XBP1, XPR1, ZC3H12A, ZFYVE1",185,"C5:GO_BP"
"Cellular Response To Stress","ABCA7, ABCC1, ABCD1, ABI3, ABL1, ACAA2, ACKR3, ACTL6A, ADAM8, ADM, ADORA2B, AGAP3, AGER, AIFM1, AKR1B1, AKR1C3, AKT1, AKT3, AKTIP, ALOX15, ALOX5, AMFR, ANKRD6, ANKZF1, ANO1, APAF1, APC, APEX1, APEX2, APLF, APP, APTX, AQP5, ARG1, ARG2, ARHGEF2, ARNT, ARNTL, ASCC2, ASCC3, ASH2L, ATF2, ATF3, ATF4, ATF6, ATG10, ATG5, ATG7, ATM, ATP13A2, ATP2A2, ATP7A, ATR, ATRX, ATXN3, AUNIP, AVPR1A, AXIN1, AXIN2, AXL, BAD, BAG3, BAG6, BAK1, BARD1, BATF, BAX, BBC3, BCCIP, BCL2, BCL2A1, BCL2L1, BCL2L11, BCL2L2, BCL3, BCL6, BDKRB2, BECN1, BID, BIRC7, BLK, BLM, BMP2, BMP4, BMP7, BMPR1A, BMPR2, BNIP3, BRAF, BRCA1, BRCA2, BRD4, BRIP1, BRSK2, BTK, CALR3, CANX, CAPN3, CARD9, CARTPT, CASP2, CASP3, CASP9, CASR, CAT, CBL, CBS, CBSL, CBX1, CBX3, CBX5, CCAR2, CCL19, CCN2, CCNA2, CCND1, CCR7, CD27, CD34, CD36, CD44, CDC37, CDC42, CDK1, CDK2, CDK3, CDK6, CDK7, CDK9, CDKN1A, CDKN1B, CDKN2A, CDKN2AIP, CDKN2B, CFLAR, CFTR, CGAS, CHAF1A, CHEK1, CHEK2, CHRNA4, CHUK, CINP, CLEC16A, CLEC7A, CLGN, CLN3, CLOCK, CNTF, COMT, COPS5, CPEB1, CPEB2, CREB3, CREBBP, CRKL, CRY2, CSNK1E, CTH, CTLA4, CTNNA1, CTNNB1, CUL3, CUL4A, CUL4B, CXCL10, CXCL12, CYBB, CYLD, CYP1B1, CYREN, DAG1, DAP, DAPK1, DAXX, DDB1, DDB2, DDIT3, DDX1, DDX39B, DDX3X, DEK, DERL3, DHFR, DHRS2, DHX9, DIABLO, DLG1, DNAJA1, DNAJB12, DNAJB2, DNAJC10, DNMT3A, DNTT, DOT1L, DYRK1A, E2F1, ECPAS, ECRG4, EDN1, EDNRA, EGFR, EGLN1, EGLN3, EHMT2, EIF2AK2, EIF2AK3, EIF2AK4, EIF2S1, EIF4G1, EMSY, EP300, EPAS1, EPHA2, EPHA4, EPHB1, EPO, ERCC1, ERCC2, ERCC3, ERCC4, ERCC5, ERCC6, ERLIN2, ERN1, ERP27, ERRFI1, ETV5, EXO1, EYA1, EYA4, EZH2, F2RL1, FADS1, FAF1, FAF2, FAM168A, FANCA, FANCC, FANCD2, FAS, FBLN5, FBXO45, FBXW7, FCGR2B, FEN1, FER, FGF1, FGF10, FGF19, FGF21, FH, FKTN, FLCN, FLT4, FMN2, FOLR1, FOXM1, FOXO1, FOXO3, FOXO4, FOXP1, FTO, FUS, FUT8, FXR2, FYN, FZD1, FZR1, G6PD, GADD45A, GADD45G, GAP43, GAS2L1, GAS6, GATA4, GATA6, GBA, GCGR, GCH1, GCN1, GDF6, GPR37, GPR37L1, GRB2, GREM1, GRN, GSK3B, GSR, GSTM1, GSTM3, GTF2I, H19, HAS2, HDAC10, HDAC2, HDAC3, HDAC6, HERC2, HGF, HIF1A, HIPK2, HIPK3, HK2, HMGA1, HMGA2, HMGB2, HMOX1, HNRNPM, HRAS, HSF1, HSPA1L, HSPA2, HSPA6, HSPA8, HSPA9, HSPB8, HSPD1, HTRA2, HUWE1, HYOU1, IFI16, IGBP1, IGF1R, IGF2BP1, IKBKB, IKBKE, IKBKG, IL10, IL18BP, IL1A, IL1B, IL26, IL6, INHBB, INO80D, IRAK1, IRAK4, IRF3, IRF7, ISL1, ITCH, ITPR1, JAK2, KAT5, KCNK2, KCNK3, KCNMB1, KDM1A, KDM6B, KEAP1, KHDC3L, KIR2DL4, KLF4, KRT20, LAMP2, LANCL1, LEP, LGALS9, LIG3, LIG4, LONP1, LRRK2, LTBR, LYN, MAGEA3, MAGI3, MAN1A1, MAN1B1, MAP1B, MAP1LC3A, MAP1LC3B, MAP2K1, MAP2K4, MAP2K5, MAP3K15, MAP3K20, MAP3K5, MAP3K7, MAP4K2, MAP4K3, MAP4K4, MAPK1, MAPK10, MAPK11, MAPK12, MAPK14, MAPK15, MAPK3, MAPK7, MAPK8, MAPK8IP1, MAPK8IP2, MAPK8IP3, MAPK9, MAPKAPK2, MAPT, MAX, MC1R, MCM2, MCM3, MCM4, MCM5, MCM6, MCM7, MCM9, MCTS1, MDC1, MDFIC, MDM2, MDM4, MECOM, MEF2C, MEIOB, MELK, MEN1, MET, METTL3, MFN2, MGMT, MICA, MLH1, MMP8, MMP9, MPL, MPO, MRE11, MSH2, MSH3, MSH6, MTA1, MTOR, MTR, MTREX, MUC1, MUTYH, MYBBP1A, MYC, MYD88, MYEF2, MYH13, MYLK, MYO6, MYOD1, NACC2, NAIP, NBN, NCF1, NCK1, NCOR1, NDNF, NDRG1, NEDD4, NEFL, NEIL3, NEK11, NEK4, NEK6, NF1, NFATC2, NFATC4, NFE2L1, NFE2L2, NFKB1, NIBAN1, NKX3-1, NOD1, NOD2, NONO, NOS3, NOTCH1, NOX1, NPC1L1, NPPA, NQO1, NR1H2, NR1H3, NR4A3, NRDE2, NREP, NSD2, NUAK2, NUDT1, NUDT16L1, OGG1, OPRD1, OPRK1, OPRM1, OPTN, OTUB1, OXSR1, P4HB, PAGE4, PAK1, PALB2, PARK7, PARP1, PARP3, PAWR, PAX2, PBK, PCK1, PCNA, PCSK9, PDCD10, PDCD4, PDCD6, PDGFD, PDGFRA, PDIA2, PDIA3, PDIA4, PDK1, PDX1, PENK, PER1, PGK1, PHB2, PHLDA3, PHLPP1, PIK3C3, PIK3CA, PIK3CB, PIK3R1, PIK3R2, PINK1, PKD2, PLA2G6, PLA2R1, PLCB1, PLEC, PLEKHA1, PLIN1, PLK1, PMAIP1, PML, PMS1, PMS2, PNPT1, POGZ, POLB, POLD1, POLDIP2, POLE, POLH, PPARA, PPARD, PPARG, PPARGC1A, PPIF, PPM1D, PPP1CA, PPP1R15B, PRKAA1, PRKAA2, PRKACA, PRKAG1, PRKAG2, PRKCD, PRKCE, PRKCG, PRKD1, PRKDC, PRKN, PRKRA, PRMT1, PRODH, PRPF19, PRRX1, PSEN1, PSMD10, PTEN, PTGER4, PTGIS, PTGS2, PTK2B, PTPN1, PTPN11, PTPN2, PTPN22, PTPRF, PTTG1, PWWP3A, PXN, PYCARD, RAD18, RAD50, RAD51, RAD52, RAD54L, RAP2A, RASGRP1, RASSF2, RBBP5, RBBP7, RBBP8, RBPJ, RBX1, RECQL, RECQL4, REL, RELA, RELB, REST, RFC3, RFC4, RFC5, RHBDD1, RHBDD2, RHOA, RIPK1, RIPK2, RIPK3, RIPOR1, RNASEH2B, RNF112, RNF121, ROCK2, ROR2, RPA1, RPA2, RPA3, RPTOR, RRM1, RUVBL1, RUVBL2, RWDD1, SAMHD1, SASH1, SAXO1, SCIMP, SDF2L1, SEC16A, SEL1L, SEMA3A, SEMA4C, SERPINF2, SESN2, SESN3, SFPQ, SFRP1, SGK1, SH2D3C, SH3RF2, SHLD1, SHLD2, SIGMAR1, SIK2, SIN3A, SIRPA, SIRT1, SIRT2, SIRT6, SIRT7, SLAMF1, SLC12A6, SLC1A1, SLC29A1, SLC2A1, SLC2A4, SLC7A11, SLC9A1, SLFN11, SMAD3, SMARCAD1, SMARCAL1, SMC1A, SMC3, SMCHD1, SMPD3, SNAI1, SNAI2, SNCA, SOD1, SOD3, SPATA18, SPATA22, SPDYA, SPHK1, SPI1, SPO11, SQSTM1, SRC, SRD5A1, SREBF1, SREBF2, SRF, SRPX, SSRP1, STAT6, STAU1, STAU2, STC2, STK11, STK3, STK33, STK39, STUB1, STXBP4, SUMO1, SUMO4, SUV39H1, SYCP1, SYVN1, TAF1, TBL2, TBX2, TBX3, TCIM, TERF2, TERT, TFEB, TFPI2, TGFB2, TGFBR3, THBS1, THY1, TICRR, TIRAP, TLK1, TLK2, TLR3, TLR4, TLR6, TLR7, TLR9, TMEM109, TMEM33, TMTC3, TMTC4, TMUB2, TMX1, TNF, TNFRSF10B, TNFRSF1A, TNFRSF1B, TNFSF11, TNR, TONSL, TOP2A, TOPBP1, TOR1A, TP53, TP53BP1, TP63, TP73, TRAF1, TRAF2, TRAF3, TRAF4, TRAF5, TRAF6, TRAP1, TREM2, TREX1, TREX2, TRIB1, TRIB3, TRIM25, TRIM28, TRIP13, TRPA1, TRPM2, TRPV1, TRPV4, TRRAP, TSC1, TSPO, TTC23L, TWIST1, UBA1, UBE2D3, UBE2T, UBE4B, UBR5, UCP2, UFC1, UHRF1, ULK1, UNG, UPF1, USP10, USP7, VAPB, VAV3, VEGFA, VHL, WAS, WDHD1, WFS1, WNT1, WNT4, WNT5A, WRN, XBP1, XDH, XIAP, XPA, XPC, XPR1, XRCC1, XRCC2, XRCC3, XRCC4, XRCC5, XRCC6, YAP1, YY1, ZBTB1, ZBTB4, ZBTB40, ZC3H12A, ZFYVE1, ZFYVE26, ZMPSTE24",815,"C5:GO_BP"
"Cell Death In Response To Oxidative Stress","ABL1, AKT1, ATF4, BCL2, CTNNB1, CYP1B1, DIABLO, FBXW7, FOXO3, FYN, FZD1, GATA4, GBA, GPR37, GPR37L1, HDAC6, HGF, HIF1A, HTRA2, IL10, JAK2, LANCL1, LRRK2, MAP3K5, MAPK7, MELK, MET, NFE2L2, NONO, NOX1, NR4A3, P4HB, PAGE4, PARK7, PARP1, PAWR, PDCD10, PDK1, PINK1, PML, PRKCD, PRKN, PRODH, REST, RIPK1, RNF112, SFPQ, SIGMAR1, SIRT1, SLC1A1, SLC7A11, SOD1, TLR4, TLR6, TNF, TRAP1, TREM2, TRPM2, TSC1, WNT1",60,"C5:GO_BP"
"Establishment Of Rna Localization","ALKBH5, ALYREF, ARC, ATM, ATR, ATXN2, CKAP5, CPSF6, DDX19A, DDX25, DDX39B, DHX9, EIF5A, EIF5AL1, HHEX, HNRNPA1L2, HSF1, IGF2BP1, IGF2BP2, IGF2BP3, KHDRBS1, KHSRP, KPNB1, LRPPRC, MCM3AP, MVP, MYO1C, NCBP1, NCBP3, NRDE2, NSUN2, NUP107, NUP153, NUP214, NUP62, NUP93, NUP98, NUTF2, NXF1, NXF3, PARP11, PCID2, PEG10, PNPT1, RAN, RANBP2, RFTN1, SEC13, SRSF1, SSB, TERF1, TGFBR2, TNKS, TSC1, UPF1, XPO1, XPO5",57,"C5:GO_BP"
"External Encapsulating Structure Organization","ABI3BP, ABL1, ADAM10, ADAM8, ADAMTS1, ADAMTS12, ADAMTS19, ADAMTS2, ADAMTS4, ADAMTS5, ADAMTSL3, ADTRP, AEBP1, ANGPTL7, APP, ATP7A, ATXN1L, BCL3, BMP2, CAV2, CCDC80, CCN1, CCN2, CFLAR, CMA1, COL10A1, COL11A1, COL17A1, COL18A1, COL23A1, COL2A1, COL4A1, COL4A2, COL4A3, COL4A4, COL4A5, COL5A1, COL5A2, COLQ, COMP, CPB2, CTSG, CTSK, CYP1B1, DAG1, DDR1, DDR2, DPP4, DPT, EGFL6, ELANE, ELN, ENG, ERCC2, FAP, FBLN2, FBLN5, FGFR4, FMOD, FOXC1, FOXC2, FOXF1, FSCN1, FURIN, GAS6, GREM1, HAS2, HMCN1, HPSE2, IHH, IL6, IMPG1, KLK4, LAMB3, LAMC1, LOX, LOXL1, LOXL2, LRP1, MELTF, MMP11, MMP12, MMP13, MMP14, MMP21, MMP8, MMP9, MYO1E, NDNF, NF1, NFKB2, NOTCH1, NOX1, NPNT, NTN4, NTNG2, P4HA1, PBXIP1, PDGFRA, PDPN, PHLDB2, PLG, POMT1, POSTN, PTX3, RB1, RECK, RIC8A, RUNX1, RXFP1, SERPINB5, SERPINF2, SERPINH1, SLC39A8, SMAD3, SMOC1, SMOC2, SMPD3, SOX9, SULF1, SULF2, TGFB1, TGFB2, TGFBR1, TGM1, TGM3, TIE1, TMPRSS6, TNF, TNFRSF11B, TNFRSF1A, TNFRSF1B, TNR, TNXB, WDR72, WNT3A, WT1, ZNF469",138,"C5:GO_BP"
"Macroautophagy","ADRB2, AKT1, ARL8B, ATG10, ATG16L1, ATG2A, ATG5, ATG7, ATP13A2, ATP2A2, ATP6V1B1, ATP6V1H, BAG3, BECN1, BNIP3, CAPN1, CASP3, CDC37, CDK5, CLEC16A, CLN3, EHMT2, EPG5, ERN1, FEZ1, GBA, HDAC10, HDAC6, HGS, HIF1A, HMOX1, HSPB8, HTRA2, HTT, HUWE1, IKBKG, IL4, IRGM, KDR, LACRT, LAMP2, LGALS8, LRBA, LRRK2, LZTS1, MAP1LC3A, MAP1LC3B, MAP3K7, MAPK3, MAPK8, MFN2, MTOR, NEDD4, NOD1, NOD2, NPC1, OPTN, PGAM5, PHB2, PHF23, PIK3C3, PIK3CA, PIKFYVE, PINK1, PIP4K2A, POLDIP2, PRKAA2, PRKACA, PRKN, PSEN1, RAB5A, RAB7A, RETREG1, RETREG3, RHEB, RIPK2, RNF31, RUBCN, RUBCNL, SESN2, SESN3, SIRT1, SLC25A4, SMURF1, SNX30, SNX4, SQSTM1, SRC, SYNPO2, TBK1, TECPR1, TMEM39A, TP53, TSC1, TSC2, TSG101, UCHL1, UFC1, ULK1, ULK2, USP36, VDAC1, VPS35, VPS37B, VPS4A, WDFY3, WDR81, ZFYVE1",108,"C5:GO_BP"
"Mrna Catabolic Process","AGO1, AKT1, ALKBH5, APEX1, ATM, AXIN2, BOLL, CNOT1, CPEB3, DAZL, DHX34, DHX9, DIS3, DIS3L2, E2F1, EIF4A3, EIF4ENIF1, ELAVL1, ERN1, EXOSC10, FTO, FUS, FXR2, GDNF, GTPBP1, HNRNPD, HNRNPM, IGF2BP1, IKBKE, KHSRP, LARP4B, MAPK14, MAPKAPK2, METTL16, METTL3, MLH1, MOV10, MTPAP, MYD88, MYEF2, NCBP1, NUDT16L1, PABPC4, PCID2, PELO, PNPT1, POLR2G, PRKCA, PRKCD, PYM1, RBM10, RC3H1, RC3H2, RIDA, RNASEL, ROCK1, ROCK2, SAMD4A, SLC11A1, SND1, SSB, SUPV3L1, SYNCRIP, TARDBP, TBRG4, TENT5B, TENT5C, TIRAP, TRAF2, TRAF3IP2, TRAF5, UPF1, VIP, YTHDF1, YTHDF3, ZC3H12A, ZC3H12D",77,"C5:GO_BP"
"Mrna Metabolic Process","AAR2, ADAR, AFF2, AGO1, AICDA, AKT1, ALKBH5, ALYREF, APEX1, APP, ATF2, ATF4, ATM, ATXN2L, AXIN2, BARD1, BOLL, BRDT, C1QBP, C5AR1, CCAR2, CCNT1, CD2BP2, CDC73, CDK9, CNOT1, COIL, CPEB1, CPEB3, CPSF6, DAZAP1, DAZL, DBR1, DDX1, DDX20, DDX39B, DHX34, DHX9, DIS3, DIS3L2, DKC1, DYRK1A, E2F1, ECD, EFTUD2, EIF4A3, EIF4ENIF1, ELAVL1, EPAS1, EREG, ERN1, EXOSC10, FIP1L1, FOXE3, FTO, FUS, FXR2, GDNF, GTPBP1, HIPK3, HMX2, HNRNPA1L2, HNRNPD, HNRNPF, HNRNPH1, HNRNPLL, HNRNPM, HSF1, HSPA8, IGF2BP1, IKBKE, KDM1A, KHDRBS1, KHSRP, LARP4B, LUC7L, MAPK14, MAPKAPK2, MBNL1, MED1, METTL16, METTL3, MLH1, MOV10, MTPAP, MTREX, MYD88, MYEF2, MYOD1, NCBP1, NCBP3, NCOA1, NONO, NR1H3, NRDE2, NSUN2, NUDT16L1, NUDT21, NUP98, PABPC4, PCBP3, PCID2, PELO, PNPT1, POLR2G, PPARG, PPARGC1A, PRKACA, PRKCA, PRKCD, PRMT5, PRMT9, PRPF19, PRPF3, PRPF31, PRPF8, PSIP1, PTBP1, PTBP2, PTCD2, PYM1, RARA, RAVER1, RBM10, RBM14, RBM15, RBM19, RBM20, RBM23, RBM27, RBM38, RBMX, RC3H1, RC3H2, REST, RIDA, RNASEL, ROCK1, ROCK2, RPUSD2, RRP1B, RSRC1, RXRA, SAFB, SAMD4A, SART1, SART3, SCAF4, SF3A1, SF3B1, SF3B3, SF3B4, SFPQ, SFSWAP, SLC11A1, SMN1, SMN2, SND1, SNRNP200, SNRPB, SNRPD1, SNRPD3, SREBF1, SRPK1, SRSF1, SRSF2, SSB, STAT3, STH, SUGP2, SUPV3L1, SYNCRIP, TAF1, TARDBP, TBP, TBRG4, TENT5B, TENT5C, THRB, TIRAP, TP53, TRAF2, TRAF3IP2, TRAF5, TRUB1, U2AF1, U2AF2, UPF1, VDR, VIP, YTHDF1, YTHDF3, ZBTB1, ZC3H12A, ZC3H12D, ZCCHC8, ZNF326, ZPR1",198,"C5:GO_BP"
"Mrna Processing","AAR2, ADAR, AFF2, AICDA, ALKBH5, ALYREF, APP, BARD1, BRDT, C1QBP, CCAR2, CCNT1, CD2BP2, CDC73, CDK9, COIL, CPEB1, CPEB3, CPSF6, DAZAP1, DBR1, DDX1, DDX20, DDX39B, DHX9, DYRK1A, ECD, EFTUD2, EIF4A3, ERN1, FIP1L1, FXR2, HMX2, HNRNPA1L2, HNRNPF, HNRNPH1, HNRNPLL, HNRNPM, HSF1, HSPA8, KDM1A, KHDRBS1, KHSRP, LUC7L, MBNL1, METTL16, METTL3, MTPAP, MTREX, MYOD1, NCBP1, NCBP3, NONO, NRDE2, NUDT21, NUP98, PNPT1, PPARGC1A, PRKACA, PRMT5, PRMT9, PRPF19, PRPF3, PRPF31, PRPF8, PSIP1, PTBP1, PTBP2, PTCD2, RAVER1, RBM10, RBM14, RBM15, RBM19, RBM20, RBM23, RBM27, RBM38, RBMX, REST, RNASEL, RRP1B, RSRC1, SAFB, SART1, SART3, SCAF4, SF3A1, SF3B1, SF3B3, SF3B4, SFPQ, SFSWAP, SMN1, SMN2, SNRNP200, SNRPB, SNRPD1, SNRPD3, SRPK1, SRSF1, SRSF2, STH, SUGP2, SYNCRIP, TARDBP, TBRG4, U2AF1, U2AF2, ZCCHC8, ZNF326, ZPR1",112,"C5:GO_BP"
